llm_model,n_pairs,n_originals,category_accuracy,same_mean,close_mean,diverging_mean,distant_mean,unrelated_mean,same_std,close_std,diverging_std,distant_std,unrelated_std,cohens_d_same_vs_unrelated,overlap_same_vs_unrelated,same_n,close_n,diverging_n,distant_n,unrelated_n,cohens_d_same_vs_close,overlap_same_vs_close,cohens_d_close_vs_diverging,overlap_close_vs_diverging,cohens_d_diverging_vs_distant,overlap_diverging_vs_distant,cohens_d_distant_vs_unrelated,overlap_distant_vs_unrelated
gpt-4.1-mini,11200,448,0.22017857142857142,0.8944773699794002,0.8601927551044586,0.7598189471369368,0.687716483549636,0.6278462910060637,0.02740846271409985,0.02780286511069788,0.030609747040869318,0.029222526227739874,0.017636526329267446,11.569327841158897,0.0,2240,2240,2240,2240,2240,1.2419096403921974,0.5214285714285716,3.4327560454525474,0.09642857142857136,2.4095053742911885,0.215625,2.480630688511123,0.1937500000000001
gpt-5-mini,11200,448,0.21973214285714285,0.8936605683184963,0.8599978939642635,0.7613346858629306,0.6856867774536831,0.6277681127925283,0.02650159683250142,0.027760329596111598,0.03112470391232477,0.02891243164182695,0.01829051381943707,11.677699111020873,0.0,2240,2240,2240,2240,2240,1.2404137853360002,0.5375000000000003,3.3455891605472736,0.09732142857142852,2.5183281120755856,0.20669642857142878,2.3941596005017356,0.21026785714285715
gpt-5.2,11175,447,0.28939597315436244,0.8706758222776843,0.8243200710675681,0.740846438951596,0.6799390271338445,0.6219736971378981,0.027488045290484056,0.0287033056234791,0.027075421604445014,0.025950962538875008,0.017713486360685093,10.755546427873677,0.0,2235,2235,2235,2235,2235,1.6495390539114163,0.40626398210290826,2.9917536602547683,0.13691275167785233,2.2967329568231074,0.2505592841163311,2.6090134960963565,0.18478747203579401
